DFW data by course for Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
HHS,"Recreation, Parks, and Tourism Administration",RPTA,RPTA 195H,Internship: Hos & Tour Mgmt,Upper,10,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,,,0.0%,,,0.0%,0.0,0.0,,,,,,,,,50.0%,50.0%,50.0%,,50.0%,,,,,,100.0%,,,
HHS,"Recreation, Parks, and Tourism Administration",RPTA,RPTA 198,Co-Curricular Activities,Upper,2.5,1,,0.0%,0.0%,,,0.0%,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,100.0%,,100.0%,,,,,,,100.0%,100.0%,,,
HHS,"Recreation, Parks, and Tourism Administration",RPTA,RPTA 199,Special Problems,Upper,3,2,,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,,,,,,,0.0,50.0%,50.0%,50.0%,,,,,,,100.0%,100.0%,,50.0%,
HHS,Social Work,SWRK,SWRK 137,Child+Law,Upper,3,52,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,82.7%,17.3%,57.7%,3.8%,5.8%,65.4%,,3.8%,1.9%,15.4%,26.9%,73.1%,46.2%,
HHS,Social Work,SWRK,SWRK 144,Working with LGBTQ+ Publics,Upper,3,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,,,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,,0.0,66.7%,33.3%,66.7%,66.7%,,33.3%,,,,,,100.0%,33.3%,
NSM,Biological Sciences,BIO,BIO 124,Clinical Hematology,Upper,3,42,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,73.8%,26.2%,42.9%,,42.9%,14.3%,,2.4%,11.9%,21.4%,83.3%,16.7%,33.3%,
NSM,Biological Sciences,BIO,BIO 126,Comp Vertebrt Morphology,Upper,3,26,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,80.8%,19.2%,46.2%,,26.9%,34.6%,3.8%,,,30.8%,61.5%,38.5%,19.2%,
NSM,Biological Sciences,BIO,BIO 143,General Virology,Upper,3,24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,41.7%,,12.5%,25.0%,,,8.3%,45.8%,75.0%,25.0%,29.2%,
NSM,Biological Sciences,BIO,BIO 145,Diversity Of Microorgansm,Upper,4,15,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,60.0%,40.0%,53.3%,,13.3%,33.3%,,,6.7%,40.0%,66.7%,33.3%,33.3%,
NSM,Biological Sciences,BIO,BIO 152,Human Parasitology,Upper,3,47,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,63.8%,36.2%,51.1%,,29.8%,21.3%,,4.3%,6.4%,27.7%,74.5%,25.5%,29.8%,
NSM,Biological Sciences,BIO,BIO 164,Amphibians and Reptiles,Upper,3,24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,50.0%,,29.2%,20.8%,,,16.7%,25.0%,79.2%,20.8%,16.7%,
NSM,Biological Sciences,BIO,BIO 167,Quantitative Meth In Bio,Upper,3,23,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,65.2%,34.8%,52.2%,4.3%,13.0%,17.4%,4.3%,,13.0%,43.5%,73.9%,26.1%,21.7%,
NSM,Biological Sciences,BIO,BIO 185,Topics in Biology,Upper,3,30,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,73.3%,26.7%,50.0%,,16.7%,46.7%,,,3.3%,26.7%,53.3%,46.7%,36.7%,
NSM,Biological Sciences,BIO,BIO 187,Advanced Cell Biology,Upper,4,15,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,66.7%,33.3%,40.0%,,13.3%,46.7%,,,,40.0%,53.3%,46.7%,33.3%,
NSM,Biological Sciences,BIO,BIO 195,Biological Internship,Upper,1.3,7,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,,0.0%,,0.0,0.0,0.0,,,,,0.0,,100.0%,,71.4%,14.3%,28.6%,,,,,28.6%,85.7%,14.3%,,
NSM,Biological Sciences,BIO,BIO 195D,Dental Internship,Upper,1.2,3,,0.0%,0.0%,,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,0.0%,,0.0,,,,,,,,0.0,100.0%,,33.3%,,,,,,,66.7%,100.0%,,33.3%,
NSM,Biological Sciences,BIO,BIO 195M,Medical Internship,Upper,2,3,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0,0.0,,,,,0.0,0.0,100.0%,,100.0%,33.3%,33.3%,,,,,33.3%,66.7%,33.3%,66.7%,
NSM,Biological Sciences,BIO,BIO 195P,Pharmacy Internship,Upper,2,2,,0.0%,0.0%,,,0.0%,,0.0%,,,,,0.0%,0.0%,,0.0%,0.0%,,,,0.0,,,,,,0.0,100.0%,,100.0%,,50.0%,,,,,50.0%,100.0%,,50.0%,
NSM,Biological Sciences,BIO,BIO 197A,Lab Teaching Assistant,Upper,1,15,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,73.3%,26.7%,20.0%,,6.7%,40.0%,,,6.7%,40.0%,60.0%,40.0%,26.7%,
NSM,Biological Sciences,BIO,BIO 197B,Laboratory Techniques,Upper,1,3,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,33.3%,66.7%,66.7%,,66.7%,33.3%,,,,,66.7%,33.3%,33.3%,
NSM,Biological Sciences,BIO,BIO 199B,Directed Readings,Upper,1.7,1,,0.0%,0.0%,,0.0%,,,,0.0%,,,,,,0.0%,,0.0%,,,,,,,,,,,100.0%,,,,,100.0%,,,,,,100.0%,,
NSM,Biological Sciences,BIO,BIO 199C,Intermed Undergrad Research,Upper,1.2,9,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,77.8%,22.2%,33.3%,,11.1%,22.2%,,,11.1%,33.3%,77.8%,22.2%,33.3%,
NSM,Biological Sciences,BIO,BIO 199D,Adv Undergrad Research,Upper,1.9,2,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,50.0%,50.0%,50.0%,,,50.0%,,,,50.0%,50.0%,50.0%,50.0%,
NSM,Chemistry,CHEM,CHEM 20L,Intro Organic Chem Lab,Lower,1,15,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,86.7%,13.3%,33.3%,,26.7%,20.0%,,,20.0%,33.3%,80.0%,20.0%,33.3%,
NSM,Chemistry,CHEM,CHEM 164,Advanced Biochemistry Lab,Upper,3,23,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,52.2%,47.8%,60.9%,4.3%,30.4%,30.4%,,,8.7%,17.4%,65.2%,34.8%,13.0%,
NSM,Chemistry,CHEM,CHEM 189A,Introduction to Research,Upper,2.3,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,83.3%,16.7%,50.0%,,16.7%,16.7%,,16.7%,,50.0%,66.7%,33.3%,16.7%,
NSM,Chemistry,CHEM,CHEM 189C,Advanced Chemical Research,Upper,2.4,2,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,0.0%,,,,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,,0.0,50.0%,50.0%,50.0%,,,50.0%,,50.0%,,,,100.0%,50.0%,
NSM,Chemistry,CHEM,CHEM 198,Senior Research,Upper,3,7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,71.4%,28.6%,57.1%,,14.3%,14.3%,,14.3%,,28.6%,71.4%,28.6%,42.9%,
NSM,Chemistry,CHEM,CHEM 198H,Chemistry Honors Thesis,Upper,3,4,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,,,,,,,0.0,75.0%,25.0%,25.0%,,,,,,,50.0%,100.0%,,25.0%,
NSM,Geography,GEOG,GEOG 110,Adv Geogrphc Info Systems,Upper,3,8,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,75.0%,25.0%,37.5%,,12.5%,50.0%,,,,25.0%,50.0%,50.0%,25.0%,
NSM,Geography,GEOG,GEOG 151,Programming for GIS II,Upper,3,6,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,,,0.0%,0.0,,,0.0,,,,0.0,,,16.7%,83.3%,,,16.7%,,,,16.7%,66.7%,100.0%,,,
NSM,Geography,GEOG,GEOG 196F,Feminist Geography,Upper,3,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,50.0%,50.0%,60.0%,,20.0%,40.0%,,,20.0%,20.0%,60.0%,40.0%,10.0%,
NSM,Geology,GEOL,GEOL 189,Geology Colloquium,Upper,1,21,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,47.6%,52.4%,71.4%,,9.5%,42.9%,,,9.5%,38.1%,57.1%,42.9%,42.9%,
NSM,Geology,GEOL,GEOL 198B,Senior Research Project,Upper,2,1,0.0%,0.0%,,0.0%,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,,100.0%,,,,,,,,100.0%,100.0%,,,
NSM,Geology,GEOL,GEOL 199C,Advanced Special Problems,Upper,1,8,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,0.0,0.0,,,,0.0,0.0,100.0%,,62.5%,,12.5%,12.5%,,,,75.0%,87.5%,12.5%,12.5%,
NSM,Mathematics,MATH,MATH 96C,Academic Strategies Math 10,Lower,1,5,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,0.0,,,,,,,0.0,0.0,100.0%,,80.0%,,,80.0%,,,,,20.0%,80.0%,60.0%,
NSM,Mathematics,MATH,MATH 99,Special Problems,Lower,1,1,,0.0%,0.0%,,,0.0%,,,,,,0.0%,,0.0%,,,0.0%,,,,,,,,,,,100.0%,,100.0%,,,,,,100.0%,,100.0%,,,
NSM,Mathematics,MATH,MATH 101,Combinatorics,Upper,3,26,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,30.8%,69.2%,61.5%,3.8%,34.6%,23.1%,,,3.8%,26.9%,73.1%,26.9%,50.0%,
NSM,Mathematics,MATH,MATH 107C,Elem Math & Learning Process,Upper,3,19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,94.7%,5.3%,47.4%,,21.1%,21.1%,,,,52.6%,78.9%,21.1%,36.8%,
NSM,Mathematics,MATH,MATH 193,Capstone Cours Teach Cred,Upper,3,22,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,36.4%,63.6%,54.5%,,27.3%,22.7%,,,4.5%,45.5%,77.3%,22.7%,31.8%,
NSM,Mathematics,MATH,MATH 198,Seminar For Math Tutors,Upper,2,2,,0.0%,0.0%,0.0%,,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,,,,0.0,,,,0.0,0.0,50.0%,50.0%,100.0%,,,50.0%,,,,50.0%,50.0%,50.0%,50.0%,
NSM,Mathematics,MATH,MATH 199,Special Problems,Upper,2.2,2,,0.0%,,0.0%,0.0%,,,0.0%,,,,,0.0%,0.0%,,0.0%,0.0%,,,,0.0,,,,,,0.0,,100.0%,,,50.0%,,,,,50.0%,100.0%,,50.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12D,Peer-Assisted Learning CHEM 1B,Lower,1,16,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,50.0%,12.5%,25.0%,12.5%,,,6.3%,43.8%,75.0%,25.0%,12.5%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12J,Peer-Assisted Learning Math 32,Lower,1,5,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,20.0%,80.0%,80.0%,,40.0%,40.0%,,,,20.0%,60.0%,40.0%,20.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12R,Peer-Assisted Learning MATH 12,Lower,1,11,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,72.7%,27.3%,72.7%,18.2%,9.1%,72.7%,,,,,9.1%,90.9%,45.5%,
NSM,Natural Sciences & Mathematics,NSM,NSM 12S,Peer-Asst Learning CHEM 124,Lower,1,17,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,64.7%,35.3%,41.2%,,35.3%,41.2%,,5.9%,,11.8%,52.9%,47.1%,35.3%,
NSM,Natural Sciences & Mathematics,NSM,NSM 100A,Transfer Seminar I,Upper,1,23,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,65.2%,34.8%,39.1%,8.7%,17.4%,21.7%,,,8.7%,21.7%,69.6%,30.4%,26.1%,
NSM,Natural Sciences & Mathematics,NSM,NSM 190,Senior Thesis Seminar,Upper,3,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,83.3%,16.7%,50.0%,,,33.3%,,,,66.7%,66.7%,33.3%,50.0%,
NSM,Natural Sciences & Mathematics,NSM,NSM 197,Honors Seminar  Peer Learning,Upper,2,26,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,76.9%,23.1%,42.3%,11.5%,38.5%,19.2%,,,3.8%,26.9%,69.2%,30.8%,19.2%,
NSM,Natural Sciences & Mathematics,NSM,NSM 197B,Adv Seminar in Peer Learning,Upper,2,3,,0.0%,0.0%,0.0%,0.0%,,,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0,,,,,,,0.0,,,33.3%,66.7%,,,,,,,66.7%,33.3%,100.0%,,,
NSM,Natural Sciences & Mathematics,NSM,NSM 197C,Lead/Supervisory PAL Seminar,Upper,2,8,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,62.5%,37.5%,37.5%,,12.5%,25.0%,,,,50.0%,75.0%,25.0%,25.0%,
NSM,Physics,ASTR,ASTR 199,Special Problems,Upper,1,5,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,20.0%,80.0%,40.0%,,20.0%,20.0%,,,,60.0%,80.0%,20.0%,20.0%,
NSM,Physics,PHSC,PHSC 75,Intro Machine Shop Pract,Lower,2,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,33.3%,66.7%,50.0%,,16.7%,50.0%,,,,33.3%,50.0%,50.0%,66.7%,
NSM,Physics,PHYS,PHYS 110,Classical Mechanics,Upper,3,8,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,25.0%,75.0%,37.5%,,62.5%,12.5%,,,,25.0%,87.5%,12.5%,25.0%,
NSM,Physics,PHYS,PHYS 175,Adv Physics Laboratory,Upper,2,3,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,,,,0.0,,,,0.0,0.0,33.3%,66.7%,,,,33.3%,,,,66.7%,66.7%,33.3%,33.3%,
NSM,Physics,PHYS,PHYS 190,Physics Seminar,Upper,1,2,,0.0%,0.0%,0.0%,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,0.0,,,,,,,,,,50.0%,50.0%,,,,,,,,50.0%,100.0%,,,
NSM,Physics,PHYS,PHYS 191,Senior Project,Upper,1.3,1,,0.0%,,0.0%,0.0%,,,,,,,,,0.0%,,,,,,,,,,,,,,,100.0%,,,,,,,,,100.0%,,,
SP,Aerospace Studies,AERO,AERO 21B,Tm Ldrshp+Fundamentals II,Lower,1,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,0.0,,,,0.0,,0.0,50.0%,50.0%,40.0%,,40.0%,,,,20.0%,40.0%,100.0%,,10.0%,
SP,Aerospace Studies,AERO,AERO 135B,Leading People+Eff Comms II,Upper,3,13,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,23.1%,76.9%,38.5%,,7.7%,23.1%,,,23.1%,38.5%,76.9%,23.1%,15.4%,
SP,Aerospace Studies,AERO,AERO 145B,Nat'l Sec+Prep Active Duty II,Upper,3,13,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,30.8%,69.2%,30.8%,,23.1%,30.8%,,,7.7%,30.8%,69.2%,30.8%,15.4%,
SP,All College,HONR,HONR 195,Community Fieldwork/Internship,Upper,3,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,66.7%,33.3%,66.7%,,,33.3%,,,,33.3%,66.7%,33.3%,33.3%,
SP,All College,HONR,HONR 196,Honors Senior Thesis,Upper,3,3,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,,,,0.0,,,,0.0,0.0,66.7%,33.3%,,,,33.3%,,,,33.3%,66.7%,33.3%,66.7%,
SP,Athletics,ATIC,ATIC 62,Men's Tennis,Lower,2,5,,0.0%,,0.0%,0.0%,0.0%,,,,,,0.0%,0.0%,0.0%,,,0.0%,,0.0,,,,,,0.0,,,,100.0%,20.0%,,,,,,20.0%,20.0%,100.0%,,,
SP,Athletics,ATIC,ATIC 63,Men's Track+Field,Lower,2,3,,0.0%,,0.0%,0.0%,,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,,,,,,,,0.0,0.0,,100.0%,,33.3%,33.3%,33.3%,,,,,33.3%,66.7%,33.3%,
SP,Athletics,ATIC,ATIC 64,Men's Baseball,Lower,2,15,,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0,,0.0,,,0.0,0.0,0.0,,100.0%,,13.3%,,13.3%,,,6.7%,60.0%,73.3%,26.7%,13.3%,
SP,Athletics,ATIC,ATIC 65,Men's Basketball,Lower,2,3,,0.0%,,0.0%,0.0%,,0.0%,,,,,0.0%,,0.0%,0.0%,,0.0%,,,,,,,,,0.0,,,100.0%,,33.3%,,,,,66.7%,,66.7%,33.3%,,
SP,Athletics,ATIC,ATIC 66,Men's Football,Lower,2,49,,0.0%,,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,100.0%,40.8%,30.6%,,14.3%,,6.1%,10.2%,38.8%,49.0%,51.0%,10.2%,
SP,Athletics,ATIC,ATIC 67,Men's Golf,Lower,2,1,,0.0%,,0.0%,,0.0%,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,,100.0%,100.0%,,,,,,,100.0%,100.0%,,,
SP,Athletics,ATIC,ATIC 68,Men's Soccer,Lower,2,11,,0.0%,,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,100.0%,45.5%,18.2%,,54.5%,,,9.1%,18.2%,27.3%,72.7%,45.5%,
SP,Athletics,ATIC,ATIC 80,Women's Basketball,Lower,2,7,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0,,,0.0,,,0.0,0.0,,100.0%,,14.3%,,,57.1%,,,14.3%,14.3%,42.9%,57.1%,,
SP,Athletics,ATIC,ATIC 81,Women's Golf,Lower,2,6,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,,0.0,,,,,,,0.0,0.0,100.0%,,16.7%,,33.3%,16.7%,,,16.7%,,83.3%,16.7%,16.7%,
SP,Athletics,ATIC,ATIC 82,Women's Soccer,Lower,2,8,,0.0%,0.0%,,0.0%,,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,,0.0,,,0.0,0.0,,100.0%,,,,,25.0%,,,37.5%,25.0%,75.0%,25.0%,,
SP,Athletics,ATIC,ATIC 84,Women's Softball,Lower,2,16,,0.0%,0.0%,,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,,0.0,,,0.0,0.0,0.0,100.0%,,18.8%,6.3%,,31.3%,,,18.8%,43.8%,62.5%,37.5%,6.3%,
SP,Athletics,ATIC,ATIC 86,Women's Tennis,Lower,2,1,,0.0%,0.0%,,0.0%,,,,,,,,,0.0%,,,,,,,,,,,,,,100.0%,,,,,,,,,,100.0%,,,
SP,Athletics,ATIC,ATIC 87,Women's Volleyball,Lower,2,4,,0.0%,0.0%,,0.0%,,,,,,,0.0%,0.0%,0.0%,,,0.0%,,,,,,,,0.0,,,100.0%,,,,,,,,50.0%,50.0%,100.0%,,,
SP,Athletics,ATIC,ATIC 88,Women's Cross Country,Lower,2,1,,0.0%,0.0%,,0.0%,,0.0%,,,,,,,,0.0%,0.0%,,,,,,,,,,,,100.0%,,,100.0%,,,,,,,,100.0%,100.0%,
SP,Athletics,ATIC,ATIC 89,Women's Track+Field,Lower,2,21,,0.0%,0.0%,,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,,0.0,,,0.0,0.0,0.0,100.0%,,19.0%,33.3%,,28.6%,,,4.8%,33.3%,38.1%,61.9%,14.3%,
SP,Athletics,ATIC,ATIC 195,Field Exper Ic Athletics,Upper,1.4,5,,0.0%,0.0%,,0.0%,0.0%,0.0%,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,,0.0,,,,0.0,0.0,100.0%,,20.0%,20.0%,,20.0%,,,,40.0%,60.0%,40.0%,20.0%,
SP,Military Science,MILS,MILS 15,Intro Military Science II,Lower,1,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,33.3%,66.7%,16.7%,16.7%,33.3%,16.7%,,,16.7%,16.7%,66.7%,33.3%,16.7%,
