DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,Theatre and Dance,DNCE,DNCE 160,Creatv Dance For Children,Upper,3,2,22,11,,0.0%,4.5%,5.0%,0.0%,0.0%,9.1%,33.3%,0.0%,0.0%,,,0.0%,0.0%,0.0%,12.5%,0.0%,6.3%,-5.0,9.1,33.3,0.0,0.0,,,0.0,12.5,-6.3,90.9%,9.1%,50.0%,13.6%,13.6%,22.7%,,,13.6%,27.3%,63.6%,36.4%,22.7%,
ALS,Theatre and Dance,DNCE,DNCE 190,Capstone Dance Project,Upper,2,2,12,6,,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,100.0%,,58.3%,16.7%,16.7%,16.7%,,,25.0%,16.7%,66.7%,33.3%,25.0%,
ALS,Theatre and Dance,THEA,THEA 1,Introduction To Theatre,Lower,3,4,393,98,0.5%,1.0%,7.9%,6.8%,9.9%,8.3%,7.6%,17.8%,8.8%,4.6%,,0.0%,14.8%,6.1%,8.3%,7.5%,6.3%,8.7%,3.1,-0.7,11.7,2.8,-1.5,,-6.1,8.8,-0.9,-2.3,63.9%,36.1%,57.0%,11.5%,17.3%,38.7%,,1.0%,6.9%,16.8%,48.9%,51.1%,36.1%,
ALS,Theatre and Dance,THEA,THEA 2,Hist-Ancient To Renaissan,Lower,3,2,85,43,0.0%,,4.7%,3.9%,5.9%,0.0%,8.9%,0.0%,0.0%,10.3%,,0.0%,14.3%,0.0%,2.2%,7.5%,4.8%,4.9%,2.0,8.9,0.0,0.0,10.3,,0.0,14.3,5.3,-0.2,60.0%,40.0%,52.9%,11.8%,14.1%,34.1%,,1.2%,8.2%,25.9%,52.9%,47.1%,24.7%,
ALS,Theatre and Dance,THEA,THEA 3,Theatre Hist After 1660,Lower,3,2,85,43,,0.0%,3.5%,0.0%,7.3%,4.2%,2.7%,0.0%,0.0%,4.0%,,,16.7%,0.0%,4.5%,2.4%,6.7%,1.6%,7.3,-1.5,0.0,0.0,4.0,,,16.7,-2.1,5.1,51.8%,48.2%,43.5%,18.8%,18.8%,29.4%,,,7.1%,21.2%,51.8%,48.2%,17.6%,
ALS,Theatre and Dance,THEA,THEA 9,Appreciation Of Acting,Lower,3,4,811,203,2.1%,2.1%,13.1%,12.9%,13.6%,8.7%,16.2%,16.5%,7.9%,16.1%,,25.0%,17.0%,4.5%,8.6%,16.4%,19.0%,8.5%,0.7,7.5,11.9,3.3,11.5,,20.5,12.5,7.7,10.5,66.1%,33.7%,57.7%,10.5%,17.3%,45.3%,,1.5%,5.8%,13.6%,42.8%,57.2%,42.2%,
ALS,Theatre and Dance,THEA,THEA 11,Acting Study I,Lower,3,4,42,11,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,57.1%,42.9%,47.6%,26.2%,9.5%,28.6%,,,7.1%,16.7%,45.2%,54.8%,7.1%,
ALS,Theatre and Dance,THEA,THEA 14,Stage Makeup/Costume Construct,Lower,3,3,53,18,0.0%,0.0%,5.7%,6.9%,4.2%,6.7%,4.3%,25.0%,0.0%,7.7%,,,0.0%,4.5%,2.8%,11.8%,16.7%,4.5%,-2.7,-2.3,20.5,-4.5,3.1,,,-4.5,9.0,12.1,54.7%,45.3%,43.4%,7.5%,9.4%,24.5%,,,11.3%,41.5%,67.9%,32.1%,11.3%,
ALS,Theatre and Dance,THEA,THEA 16,Stagecraft,Lower,3,3,47,16,0.0%,0.0%,8.5%,3.8%,14.3%,3.8%,14.3%,25.0%,14.3%,11.1%,,0.0%,16.7%,0.0%,6.1%,14.3%,50.0%,7.0%,10.4,10.4,25.0,14.3,11.1,,0.0,16.7,8.2,43.0,55.3%,44.7%,44.7%,8.5%,14.9%,19.1%,,2.1%,12.8%,34.0%,70.2%,29.8%,4.3%,
ALS,Theatre and Dance,THEA,THEA 20,Lighting,Lower,3,4,69,17,3.1%,2.7%,7.2%,7.7%,6.7%,10.3%,5.0%,33.3%,0.0%,5.6%,,,0.0%,0.0%,2.4%,14.8%,21.4%,3.8%,-1.0,-5.3,33.3,0.0,5.6,,,0.0,12.4,17.6,56.5%,43.5%,58.0%,13.0%,15.9%,26.1%,,,8.7%,31.9%,60.9%,39.1%,20.3%,
ALS,Theatre and Dance,THEA,THEA 21,First Year Seminar,Lower,3,2,17,9,0.0%,,23.5%,0.0%,44.4%,22.2%,25.0%,66.7%,50.0%,11.1%,,,0.0%,0.0%,20.0%,25.0%,50.0%,10.0%,44.4,2.8,66.7,50.0,11.1,,,0.0,5.0,40.0,47.1%,52.9%,47.1%,17.6%,11.8%,52.9%,,,5.9%,5.9%,29.4%,70.6%,35.3%,
ALS,Theatre and Dance,THEA,THEA 96A,Stage & Prod. Management,Lower,3,1,7,7,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,71.4%,28.6%,71.4%,,14.3%,28.6%,,,28.6%,28.6%,71.4%,28.6%,14.3%,
ALS,Theatre and Dance,THEA,THEA 100,Script Analysis,Upper,3,2,43,22,,2.3%,2.3%,3.7%,0.0%,0.0%,4.5%,0.0%,0.0%,0.0%,,,25.0%,0.0%,3.4%,0.0%,0.0%,3.3%,-3.7,4.5,0.0,0.0,0.0,,,25.0,-3.4,-3.3,62.8%,37.2%,51.2%,9.3%,11.6%,23.3%,,,9.3%,39.5%,67.4%,32.6%,20.9%,
ALS,Theatre and Dance,THEA,THEA 102A,Voice+Movement I,Upper,3,4,58,15,0.0%,0.0%,1.7%,3.2%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,,,0.0%,4.8%,2.8%,0.0%,0.0%,2.0%,-3.2,3.0,-4.8,-4.8,-4.8,,,-4.8,-2.8,-2.0,53.4%,46.6%,56.9%,12.1%,6.9%,25.9%,,,15.5%,36.2%,62.1%,37.9%,12.1%,
ALS,Theatre and Dance,THEA,THEA 102B,Voice and Movement II,Upper,3,1,13,13,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,46.2%,53.8%,76.9%,15.4%,7.7%,30.8%,,,,46.2%,53.8%,46.2%,15.4%,
ALS,Theatre and Dance,THEA,THEA 104,Acting Study II,Upper,3,3,39,13,0.0%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,59.0%,41.0%,59.0%,7.7%,5.1%,28.2%,,,15.4%,38.5%,64.1%,35.9%,17.9%,
ALS,Theatre and Dance,THEA,THEA 107,Directing,Upper,3,2,31,16,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,71.0%,29.0%,45.2%,9.7%,,25.8%,,,22.6%,38.7%,64.5%,35.5%,6.5%,
ALS,Theatre and Dance,THEA,THEA 109,Musical Theatre,Upper,3,2,16,8,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,62.5%,37.5%,62.5%,6.3%,6.3%,31.3%,,,6.3%,50.0%,62.5%,37.5%,,
ALS,Theatre and Dance,THEA,THEA 110,Acting Study III: Adv Acting,Upper,3,1,14,14,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,,,0.0,,0.0,0.0,0.0,,71.4%,28.6%,21.4%,,,7.1%,,7.1%,21.4%,57.1%,85.7%,14.3%,,
ALS,Theatre and Dance,THEA,THEA 111,Audition Technique,Upper,3,1,15,15,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,53.3%,46.7%,33.3%,13.3%,,6.7%,,6.7%,6.7%,66.7%,73.3%,26.7%,13.3%,
ALS,Theatre and Dance,THEA,THEA 113,Acting Styles:Shakespeare,Upper,3,1,11,11,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,72.7%,27.3%,45.5%,,,27.3%,,,,63.6%,72.7%,27.3%,18.2%,
ALS,Theatre and Dance,THEA,THEA 115A,Multicultural Puppetry,Upper,3,4,162,41,1.3%,0.0%,5.6%,6.1%,4.2%,5.6%,5.6%,8.3%,3.0%,7.4%,0.0%,100.0%,0.0%,2.4%,3.2%,8.8%,10.2%,3.8%,-2.0,0.0,5.9,0.6,5.0,-2.4,97.6,-2.4,5.6,6.4,70.4%,29.6%,55.6%,7.4%,20.4%,33.3%,0.6%,0.6%,5.6%,25.3%,58.0%,42.0%,30.2%,
ALS,Theatre and Dance,THEA,THEA 118,Children's Theatre,Upper,3,4,405,101,1.0%,3.0%,7.9%,8.0%,6.8%,5.8%,10.1%,27.3%,6.7%,10.3%,0.0%,0.0%,4.2%,5.1%,4.7%,12.1%,11.1%,5.9%,-1.2,4.2,22.2,1.6,5.2,-5.1,-5.1,-0.9,7.4,5.3,89.1%,10.9%,49.1%,5.4%,11.1%,36.0%,0.2%,1.0%,5.9%,34.1%,57.3%,42.7%,31.1%,
ALS,Theatre and Dance,THEA,THEA 120A,Practicum Technical Production,Upper,1,4,170,43,,,1.2%,1.8%,0.0%,1.4%,1.0%,0.0%,0.0%,2.2%,,0.0%,0.0%,1.5%,0.9%,1.7%,0.0%,1.4%,-1.8,-0.3,-1.5,-1.5,0.7,,-1.5,-1.5,0.8,-1.4,66.5%,33.5%,56.5%,7.6%,10.6%,26.5%,,0.6%,10.0%,39.4%,65.3%,34.7%,8.8%,
ALS,Theatre and Dance,THEA,THEA 121,Rehearsal & Performance,Upper,1,4,144,36,,,0.7%,0.9%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,1.2%,0.0%,3.4%,0.0%,-0.9,-1.6,0.0,0.0,0.0,,,0.0,-1.2,3.4,77.8%,22.2%,56.3%,16.0%,5.6%,25.7%,,,10.4%,34.7%,58.3%,41.7%,20.1%,
ALS,Theatre and Dance,THEA,THEA 123,Lighting and Set Design,Upper,3,2,16,8,0.0%,0.0%,6.3%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,,,0.0%,20.0%,11.1%,0.0%,0.0%,7.7%,20.0,20.0,-20.0,-20.0,-20.0,,,-20.0,-11.1,-7.7,68.8%,31.3%,31.3%,18.8%,6.3%,25.0%,,,12.5%,31.3%,56.3%,43.8%,6.3%,
ALS,Theatre and Dance,THEA,THEA 131,Costume Design,Upper,3,2,22,11,,9.1%,13.6%,7.1%,25.0%,16.7%,10.0%,0.0%,,20.0%,,,33.3%,9.1%,12.5%,16.7%,50.0%,10.5%,17.9,-6.7,-9.1,,10.9,,,24.2,4.2,39.5,63.6%,36.4%,45.5%,4.5%,,22.7%,,,13.6%,50.0%,72.7%,27.3%,9.1%,
ALS,Theatre and Dance,THEA,THEA 140,Black Drama Afr Diaspora,Upper,3,2,83,42,,0.0%,7.2%,8.2%,4.5%,6.9%,7.4%,7.3%,0.0%,5.3%,,,12.5%,0.0%,8.7%,6.7%,0.0%,9.8%,-3.7,0.5,7.3,0.0,5.3,,,12.5,-2.0,-9.8,73.5%,26.5%,65.1%,49.4%,8.4%,22.9%,,,9.6%,6.0%,27.7%,72.3%,24.1%,
ALS,Theatre and Dance,THEA,THEA 144/WOMS 144,Women/Theatre:Stage Diverse,Upper,3,2,56,28,,0.0%,5.4%,6.5%,0.0%,8.3%,3.1%,0.0%,0.0%,7.1%,,0.0%,0.0%,7.7%,3.8%,6.7%,11.8%,2.8%,-6.5,-5.2,-7.7,-7.7,-0.5,,-7.7,-7.7,2.8,9.0,82.1%,17.9%,57.1%,1.8%,10.7%,50.0%,,1.8%,3.6%,23.2%,46.4%,53.6%,30.4%,
ALS,Theatre and Dance,THEA,THEA 155,Contemporary World Cinema,Upper,3,3,160,53,1.9%,0.0%,4.4%,2.1%,5.4%,4.8%,3.9%,11.8%,5.0%,0.0%,0.0%,0.0%,0.0%,7.1%,5.5%,2.9%,2.7%,5.0%,3.3,-0.8,4.6,-2.1,-7.1,-7.1,-7.1,-7.1,-2.6,-2.3,30.0%,70.0%,47.5%,10.6%,12.5%,31.3%,0.6%,0.6%,10.6%,26.3%,56.9%,43.1%,23.1%,
ALS,Theatre and Dance,THEA,THEA 170,Afro-American Thea/Culture,Upper,3,2,49,25,0.0%,,2.0%,0.0%,4.5%,0.0%,4.3%,0.0%,0.0%,0.0%,,,0.0%,12.5%,3.7%,0.0%,0.0%,2.9%,4.5,4.3,-12.5,-12.5,-12.5,,,-12.5,-3.7,-2.9,55.1%,44.9%,46.9%,18.4%,16.3%,26.5%,,,14.3%,16.3%,55.1%,44.9%,26.5%,
ALS,Theatre and Dance,THEA,THEA 173,Cntmp Chicano/Latino Thea,Upper,3,4,146,37,0.0%,2.0%,5.5%,6.5%,3.8%,8.1%,3.6%,0.0%,16.7%,4.4%,,,50.0%,0.0%,10.0%,4.3%,6.1%,5.0%,-2.7,-4.5,0.0,16.7,4.4,,,50.0,-5.7,1.1,63.7%,36.3%,57.5%,2.1%,4.1%,77.4%,,,1.4%,9.6%,20.5%,79.5%,56.2%,
ALS,Theatre and Dance,THEA,THEA 174,Multicul Persp Am Theatre,Upper,3,4,182,46,1.0%,1.2%,4.9%,2.9%,7.7%,7.0%,2.4%,5.6%,6.5%,6.5%,0.0%,0.0%,22.2%,0.0%,4.1%,6.0%,3.1%,6.2%,4.8,-4.6,5.6,6.5,6.5,0.0,0.0,22.2,1.9,-3.1,57.1%,42.9%,45.1%,9.9%,17.0%,34.1%,0.5%,1.6%,4.9%,25.3%,53.8%,46.2%,35.7%,
ALS,Theatre and Dance,THEA,THEA 190,Senior Production,Upper,2,2,44,22,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,68.2%,31.8%,45.5%,9.1%,4.5%,22.7%,,,18.2%,38.6%,68.2%,31.8%,11.4%,
ALS,Theatre and Dance,THEA,THEA 199,Special Problems Theatre,Upper,1.3,4,18,5,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,,66.7%,33.3%,61.1%,11.1%,,33.3%,,,11.1%,33.3%,55.6%,44.4%,,
ALS,World Languages & Literatures,ARBC,ARBC 1A,Elementary Arabic,Lower,4,1,37,37,2.7%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,40.5%,59.5%,59.5%,2.7%,16.2%,18.9%,,,8.1%,45.9%,78.4%,21.6%,32.4%,
ALS,World Languages & Literatures,ARBC,ARBC 1B,Elementary Arabic,Lower,4,2,65,33,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,53.8%,46.2%,72.3%,7.7%,15.4%,4.6%,,3.1%,4.6%,50.8%,84.6%,15.4%,26.2%,
ALS,World Languages & Literatures,CHIN,CHIN 1A,Elementary Mandarin,Lower,5,2,97,49,3.1%,,20.6%,26.9%,13.3%,22.5%,19.3%,33.3%,14.3%,25.0%,,100.0%,16.7%,20.0%,18.2%,30.0%,27.5%,15.7%,-13.6,-3.2,13.3,-5.7,5.0,,80.0,-3.3,11.8,11.8,53.6%,46.4%,58.8%,3.1%,50.5%,16.5%,,1.0%,6.2%,10.3%,79.4%,20.6%,41.2%,
ALS,World Languages & Literatures,CHIN,CHIN 1B,Elementary Mandarin,Lower,5,2,62,31,,6.5%,8.1%,6.3%,10.0%,4.5%,10.0%,0.0%,5.4%,0.0%,,,0.0%,40.0%,9.4%,0.0%,0.0%,15.6%,3.8,5.5,-40.0,-34.6,-40.0,,,-40.0,-9.4,-15.6,51.6%,48.4%,64.5%,1.6%,59.7%,12.9%,,,9.7%,8.1%,85.5%,14.5%,46.8%,
ALS,World Languages & Literatures,CHIN,CHIN 2A,Intermediate Mandarin,Lower,4,2,15,8,0.0%,,20.0%,25.0%,14.3%,16.7%,22.2%,0.0%,14.3%,50.0%,,,0.0%,0.0%,16.7%,33.3%,37.5%,0.0%,-10.7,5.6,0.0,14.3,50.0,,,0.0,16.7,37.5,53.3%,46.7%,60.0%,6.7%,46.7%,13.3%,,,13.3%,6.7%,80.0%,20.0%,53.3%,
ALS,World Languages & Literatures,CHIN,CHIN 2B,Intermediate Mandarin,Lower,4,1,5,5,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,0.0%,,0.0%,,,0.0%,0.0,0.0,,,,,,,,,20.0%,80.0%,60.0%,,60.0%,,,,20.0%,,100.0%,,,
ALS,World Languages & Literatures,CHIN,CHIN 120,Chinese Civilization,Upper,3,3,116,39,0.0%,3.9%,16.4%,18.2%,13.3%,14.3%,18.3%,0.0%,11.1%,41.7%,,0.0%,33.3%,20.0%,14.0%,31.3%,16.3%,15.0%,-4.8,4.0,-20.0,-8.9,21.7,,-20.0,13.3,17.3,1.3,47.4%,51.7%,51.7%,2.6%,62.1%,10.3%,,0.9%,2.6%,12.9%,86.2%,13.8%,42.2%,
ALS,World Languages & Literatures,CHIN,CHIN 199,Special Problems,Upper,3,1,1,1,,,0.0%,,0.0%,,0.0%,,,,,,,,0.0%,,,0.0%,,,,,,,,,,,,100.0%,100.0%,,,,,,,,100.0%,,,
ALS,World Languages & Literatures,FREN,FREN 1A,Elementary French,Lower,4,4,328,82,3.3%,0.9%,13.4%,12.6%,14.6%,10.3%,16.3%,17.1%,6.3%,23.2%,0.0%,0.0%,15.4%,6.0%,8.2%,21.1%,19.6%,10.8%,2.0,6.0,11.1,0.3,17.2,-6.0,-6.0,9.4,12.8,8.8,58.2%,41.8%,52.4%,10.7%,14.6%,29.0%,0.3%,0.6%,7.9%,30.5%,59.5%,40.5%,28.0%,
ALS,World Languages & Literatures,FREN,FREN 1B,Elementary French,Lower,4,4,275,69,6.0%,3.4%,12.7%,11.5%,14.5%,15.9%,9.2%,25.8%,5.3%,18.0%,0.0%,33.3%,11.5%,9.2%,8.4%,20.8%,18.2%,10.1%,3.0,-6.6,16.6,-3.9,8.8,-9.2,24.1,2.4,12.5,8.1,60.0%,40.0%,47.3%,11.3%,13.8%,22.2%,0.4%,1.1%,9.5%,35.6%,65.1%,34.9%,24.0%,
ALS,World Languages & Literatures,FREN,FREN 2A,Intermediate French,Lower,4,2,29,15,3.4%,,37.9%,38.5%,37.5%,35.7%,40.0%,60.0%,33.3%,80.0%,,100.0%,33.3%,9.1%,16.7%,72.7%,55.6%,31.6%,-1.0,4.3,50.9,24.2,70.9,,90.9,24.2,56.1,24.0,44.8%,55.2%,51.7%,17.2%,10.3%,17.2%,,3.4%,10.3%,37.9%,62.1%,37.9%,31.0%,
ALS,World Languages & Literatures,FREN,FREN 2B,Intermediate French,Lower,4,2,8,4,,0.0%,12.5%,25.0%,0.0%,25.0%,0.0%,0.0%,,0.0%,,,0.0%,20.0%,16.7%,0.0%,0.0%,14.3%,-25.0,-25.0,-20.0,,-20.0,,,-20.0,-16.7,-14.3,50.0%,50.0%,50.0%,12.5%,,12.5%,,,12.5%,62.5%,75.0%,25.0%,12.5%,
ALS,World Languages & Literatures,FREN,FREN 101,Advanced Grammar,Upper,3,1,7,7,0.0%,,28.6%,25.0%,33.3%,50.0%,20.0%,50.0%,,0.0%,,,0.0%,100.0%,50.0%,20.0%,0.0%,40.0%,8.3,-30.0,-50.0,,-100.0,,,-100.0,-30.0,-40.0,57.1%,42.9%,71.4%,28.6%,,42.9%,,,14.3%,14.3%,28.6%,71.4%,28.6%,
ALS,World Languages & Literatures,FREN,FREN 103,Advanced Composition,Upper,3,1,8,8,,0.0%,12.5%,0.0%,100.0%,0.0%,33.3%,0.0%,,,,,0.0%,20.0%,14.3%,0.0%,0.0%,14.3%,100.0,33.3,-20.0,,,,,-20.0,-14.3,-14.3,87.5%,12.5%,37.5%,12.5%,,,,,25.0%,62.5%,87.5%,12.5%,12.5%,
ALS,World Languages & Literatures,FREN,FREN 104A,Fren Transltn (Fren-Engl),Upper,3,1,10,10,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,70.0%,30.0%,40.0%,10.0%,,20.0%,,,10.0%,50.0%,70.0%,30.0%,20.0%,
ALS,World Languages & Literatures,FREN,FREN 104B,Fren Transltn (Engl-Fren),Upper,3,1,5,5,,0.0%,20.0%,0.0%,50.0%,0.0%,33.3%,50.0%,0.0%,0.0%,,,0.0%,,0.0%,33.3%,0.0%,25.0%,50.0,33.3,,,,,,,33.3,-25.0,40.0%,40.0%,60.0%,40.0%,20.0%,20.0%,,,20.0%,,40.0%,60.0%,20.0%,
ALS,World Languages & Literatures,FREN,FREN 109,French Language Practice,Upper,3,1,7,7,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,57.1%,42.9%,57.1%,28.6%,,28.6%,,,14.3%,14.3%,42.9%,57.1%,28.6%,
ALS,World Languages & Literatures,FREN,FREN 110,Survey of French Lit,Upper,3,1,7,7,14.3%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,57.1%,42.9%,42.9%,28.6%,,28.6%,,,14.3%,28.6%,42.9%,57.1%,42.9%,
ALS,World Languages & Literatures,FREN,FREN 111,Topics Francophone Lit,Upper,3,1,10,10,0.0%,,40.0%,33.3%,50.0%,50.0%,25.0%,100.0%,,33.3%,,,0.0%,25.0%,20.0%,60.0%,66.7%,16.7%,16.7,-25.0,75.0,,8.3,,,-25.0,40.0,50.0,60.0%,40.0%,40.0%,20.0%,,30.0%,,,10.0%,40.0%,50.0%,50.0%,30.0%,
ALS,World Languages & Literatures,FREN,FREN 120,French Civilization,Upper,3,4,400,100,1.3%,1.2%,6.3%,5.4%,7.3%,6.2%,6.3%,10.5%,7.5%,8.8%,0.0%,,0.0%,1.7%,4.5%,9.0%,6.4%,5.8%,1.9,0.1,8.8,5.8,7.1,-1.7,,-1.7,4.5,0.7,55.3%,44.5%,51.8%,4.8%,20.0%,34.0%,0.3%,,3.8%,28.8%,61.0%,39.0%,35.0%,
ALS,World Languages & Literatures,FREN,FREN 170,Seminar Conducted in French,Upper,3,1,13,13,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,84.6%,15.4%,30.8%,15.4%,,7.7%,,,15.4%,46.2%,76.9%,23.1%,30.8%,
ALS,World Languages & Literatures,FREN,FREN 199,Special Problems,Upper,3,2,5,3,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0,0.0,,,,,,0.0,,,60.0%,40.0%,40.0%,,,,,,40.0%,60.0%,100.0%,,,
ALS,World Languages & Literatures,GERM,GERM 1A,Elementary German,Lower,4,2,141,71,1.4%,,21.3%,26.2%,17.1%,18.5%,23.7%,50.0%,18.2%,27.8%,,,28.6%,16.7%,17.8%,30.0%,30.3%,18.9%,-9.0,5.2,33.3,1.5,11.1,,,11.9,12.2,11.4,46.1%,53.9%,53.9%,2.8%,7.8%,25.5%,,,9.9%,46.8%,71.6%,28.4%,23.4%,
ALS,World Languages & Literatures,GERM,GERM 1B,Elementary German,Lower,4,2,77,39,,5.2%,23.4%,22.9%,23.8%,25.0%,22.0%,100.0%,16.7%,23.1%,,,37.5%,17.1%,22.2%,28.6%,30.8%,20.0%,1.0,-3.0,82.9,-0.4,6.0,,,20.4,6.3,10.8,45.5%,54.5%,53.2%,1.3%,7.8%,16.9%,,,10.4%,53.2%,81.8%,18.2%,16.9%,
ALS,World Languages & Literatures,GERM,GERM 150,Germ Civil:Begn-16th Cent,Upper,3,2,74,37,0.0%,,16.2%,16.1%,16.3%,21.6%,10.8%,0.0%,50.0%,24.0%,,0.0%,0.0%,6.7%,12.8%,22.2%,25.0%,14.5%,0.2,-10.8,-6.7,43.3,17.3,,-6.7,-6.7,9.5,10.5,41.9%,58.1%,50.0%,1.4%,10.8%,33.8%,,1.4%,6.8%,40.5%,63.5%,36.5%,21.6%,
ALS,World Languages & Literatures,GERM,GERM 151,Germ Civil:17th Cent-Pres,Upper,3,2,41,21,,0.0%,9.8%,5.9%,12.5%,21.1%,0.0%,,25.0%,0.0%,,0.0%,0.0%,13.0%,13.3%,0.0%,25.0%,6.1%,6.6,-21.1,,12.0,-13.0,,-13.0,-13.0,-13.3,18.9,41.5%,58.5%,53.7%,,9.8%,24.4%,,2.4%,7.3%,56.1%,73.2%,26.8%,19.5%,
ALS,World Languages & Literatures,ITAL,ITAL 1A,Elementary Italian,Lower,4,4,156,39,3.9%,1.9%,22.4%,19.6%,26.6%,22.5%,22.4%,46.7%,0.0%,15.4%,0.0%,,46.2%,20.0%,23.0%,21.7%,16.7%,23.6%,7.0,-0.2,26.7,-20.0,-4.6,-20.0,,26.2,-1.2,-6.9,59.0%,41.0%,54.5%,9.6%,9.0%,33.3%,1.3%,,8.3%,32.1%,55.8%,44.2%,30.8%,
ALS,World Languages & Literatures,ITAL,ITAL 1B,Elementary Italian,Lower,4,4,80,20,5.9%,2.2%,22.5%,27.9%,16.7%,23.7%,21.4%,40.0%,40.0%,32.3%,,0.0%,0.0%,8.7%,14.0%,32.4%,42.1%,16.7%,-11.2,-2.3,31.3,31.3,23.6,,-8.7,-8.7,18.5,25.4,53.8%,45.0%,52.5%,6.3%,12.5%,38.8%,,1.3%,3.8%,28.8%,53.8%,46.3%,23.8%,
